serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,Liedson,1,0.007748621592333747,25.0
AAPL,Liedson,2,0.007748621592333747,25.0
AAPL,Liedson,3,0.007748621592333747,25.0
AAPL,Liedson,4,0.007748621592333747,25.0
AAPL,Liedson,5,0.007748621592333747,25.0
AAPL,LR + KSWIN,1,0.0071320305811557235,21.0
AAPL,LR + KSWIN,2,0.0071320305811557235,21.0
AAPL,LR + KSWIN,3,0.0071320305811557235,21.0
AAPL,LR + KSWIN,4,0.0071320305811557235,21.0
AAPL,LR + KSWIN,5,0.0071320305811557235,21.0
AAPL,SVR + KSWIN,1,0.019396973403365967,27.0
AAPL,SVR + KSWIN,2,0.019396973403365967,27.0
AAPL,SVR + KSWIN,3,0.019396973403365967,27.0
AAPL,SVR + KSWIN,4,0.019396973403365967,27.0
AAPL,SVR + KSWIN,5,0.019396973403365967,27.0
AAPL,BayesianLinear,1,0.007968005703709606,
AAPL,BayesianLinear,2,0.007968005703709606,
AAPL,BayesianLinear,3,0.007968005703709606,
AAPL,BayesianLinear,4,0.007968005703709606,
AAPL,BayesianLinear,5,0.007968005703709606,
AAPL,HoeffdingTree,1,0.08324726516619738,
AAPL,HoeffdingTree,2,0.08324726516619738,
AAPL,HoeffdingTree,3,0.08324726516619738,
AAPL,HoeffdingTree,4,0.08324726516619738,
AAPL,HoeffdingTree,5,0.08324726516619738,
AAPL,KNNRegressorOnline,1,0.01125518508654954,
AAPL,KNNRegressorOnline,2,0.01125518508654954,
AAPL,KNNRegressorOnline,3,0.01125518508654954,
AAPL,KNNRegressorOnline,4,0.01125518508654954,
AAPL,KNNRegressorOnline,5,0.01125518508654954,
AAPL,LinearRegressionOnline,1,12023584426.818184,
AAPL,LinearRegressionOnline,2,12023584426.818184,
AAPL,LinearRegressionOnline,3,12023584426.818184,
AAPL,LinearRegressionOnline,4,12023584426.818184,
AAPL,LinearRegressionOnline,5,12023584426.818184,
AAPL,OS-ELM,1,0.013275443057405781,
AAPL,OS-ELM,2,0.013275443057405781,
AAPL,OS-ELM,3,0.013275443057405781,
AAPL,OS-ELM,4,0.013275443057405781,
AAPL,OS-ELM,5,0.013275443057405781,
B3SA3.SA,Liedson,1,0.029310563259280924,7.0
B3SA3.SA,Liedson,2,0.029310563259280924,7.0
B3SA3.SA,Liedson,3,0.029310563259280924,7.0
B3SA3.SA,Liedson,4,0.029310563259280924,7.0
B3SA3.SA,Liedson,5,0.029310563259280924,7.0
B3SA3.SA,LR + KSWIN,1,0.03722566703162313,8.0
B3SA3.SA,LR + KSWIN,2,0.03722566703162313,8.0
B3SA3.SA,LR + KSWIN,3,0.03722566703162313,8.0
B3SA3.SA,LR + KSWIN,4,0.03722566703162313,8.0
B3SA3.SA,LR + KSWIN,5,0.03722566703162313,8.0
B3SA3.SA,SVR + KSWIN,1,0.04864601067827028,7.0
B3SA3.SA,SVR + KSWIN,2,0.04864601067827028,7.0
B3SA3.SA,SVR + KSWIN,3,0.04864601067827028,7.0
B3SA3.SA,SVR + KSWIN,4,0.04864601067827028,7.0
B3SA3.SA,SVR + KSWIN,5,0.04864601067827028,7.0
B3SA3.SA,BayesianLinear,1,0.02946876432964951,
B3SA3.SA,BayesianLinear,2,0.02946876432964951,
B3SA3.SA,BayesianLinear,3,0.02946876432964951,
B3SA3.SA,BayesianLinear,4,0.02946876432964951,
B3SA3.SA,BayesianLinear,5,0.02946876432964951,
B3SA3.SA,HoeffdingTree,1,0.03858648288681726,
B3SA3.SA,HoeffdingTree,2,0.03858648288681726,
B3SA3.SA,HoeffdingTree,3,0.03858648288681726,
B3SA3.SA,HoeffdingTree,4,0.03858648288681726,
B3SA3.SA,HoeffdingTree,5,0.03858648288681726,
B3SA3.SA,KNNRegressorOnline,1,0.050404754828321796,
B3SA3.SA,KNNRegressorOnline,2,0.050404754828321796,
B3SA3.SA,KNNRegressorOnline,3,0.050404754828321796,
B3SA3.SA,KNNRegressorOnline,4,0.050404754828321796,
B3SA3.SA,KNNRegressorOnline,5,0.050404754828321796,
B3SA3.SA,LinearRegressionOnline,1,0.03858648288681726,
B3SA3.SA,LinearRegressionOnline,2,0.03858648288681726,
B3SA3.SA,LinearRegressionOnline,3,0.03858648288681726,
B3SA3.SA,LinearRegressionOnline,4,0.03858648288681726,
B3SA3.SA,LinearRegressionOnline,5,0.03858648288681726,
B3SA3.SA,OS-ELM,1,0.03883529405379574,
B3SA3.SA,OS-ELM,2,0.03883529405379574,
B3SA3.SA,OS-ELM,3,0.03883529405379574,
B3SA3.SA,OS-ELM,4,0.03883529405379574,
B3SA3.SA,OS-ELM,5,0.03883529405379574,
IXIC,Liedson,1,0.008462081224654007,27.0
IXIC,Liedson,2,0.008462081224654007,27.0
IXIC,Liedson,3,0.008462081224654007,27.0
IXIC,Liedson,4,0.008462081224654007,27.0
IXIC,Liedson,5,0.008462081224654007,27.0
IXIC,LR + KSWIN,1,0.008444106457477372,20.0
IXIC,LR + KSWIN,2,0.008444106457477372,20.0
IXIC,LR + KSWIN,3,0.008444106457477372,20.0
IXIC,LR + KSWIN,4,0.008444106457477372,20.0
IXIC,LR + KSWIN,5,0.008444106457477372,20.0
IXIC,SVR + KSWIN,1,0.026489206689795874,32.0
IXIC,SVR + KSWIN,2,0.026489206689795874,32.0
IXIC,SVR + KSWIN,3,0.026489206689795874,32.0
IXIC,SVR + KSWIN,4,0.026489206689795874,32.0
IXIC,SVR + KSWIN,5,0.026489206689795874,32.0
IXIC,BayesianLinear,1,0.008734726269088512,
IXIC,BayesianLinear,2,0.008734726269088512,
IXIC,BayesianLinear,3,0.008734726269088512,
IXIC,BayesianLinear,4,0.008734726269088512,
IXIC,BayesianLinear,5,0.008734726269088512,
IXIC,HoeffdingTree,1,0.0514171203436717,
IXIC,HoeffdingTree,2,0.0514171203436717,
IXIC,HoeffdingTree,3,0.0514171203436717,
IXIC,HoeffdingTree,4,0.0514171203436717,
IXIC,HoeffdingTree,5,0.0514171203436717,
IXIC,KNNRegressorOnline,1,0.011928440480240226,
IXIC,KNNRegressorOnline,2,0.011928440480240226,
IXIC,KNNRegressorOnline,3,0.011928440480240226,
IXIC,KNNRegressorOnline,4,0.011928440480240226,
IXIC,KNNRegressorOnline,5,0.011928440480240226,
IXIC,LinearRegressionOnline,1,9147725763.18886,
IXIC,LinearRegressionOnline,2,9147725763.18886,
IXIC,LinearRegressionOnline,3,9147725763.18886,
IXIC,LinearRegressionOnline,4,9147725763.18886,
IXIC,LinearRegressionOnline,5,9147725763.18886,
IXIC,OS-ELM,1,0.011231650108623615,
IXIC,OS-ELM,2,0.011231650108623615,
IXIC,OS-ELM,3,0.011231650108623615,
IXIC,OS-ELM,4,0.011231650108623615,
IXIC,OS-ELM,5,0.011231650108623615,
DJI,Liedson,1,0.013108370762369804,17.0
DJI,Liedson,2,0.013108370762369804,17.0
DJI,Liedson,3,0.013108370762369804,17.0
DJI,Liedson,4,0.013108370762369804,17.0
DJI,Liedson,5,0.013108370762369804,17.0
DJI,LR + KSWIN,1,0.013366908546416499,14.0
DJI,LR + KSWIN,2,0.013366908546416499,14.0
DJI,LR + KSWIN,3,0.013366908546416499,14.0
DJI,LR + KSWIN,4,0.013366908546416499,14.0
DJI,LR + KSWIN,5,0.013366908546416499,14.0
DJI,SVR + KSWIN,1,0.03553115850857889,19.0
DJI,SVR + KSWIN,2,0.03553115850857889,19.0
DJI,SVR + KSWIN,3,0.03553115850857889,19.0
DJI,SVR + KSWIN,4,0.03553115850857889,19.0
DJI,SVR + KSWIN,5,0.03553115850857889,19.0
DJI,BayesianLinear,1,0.013573849576053522,
DJI,BayesianLinear,2,0.013573849576053522,
DJI,BayesianLinear,3,0.013573849576053522,
DJI,BayesianLinear,4,0.013573849576053522,
DJI,BayesianLinear,5,0.013573849576053522,
DJI,HoeffdingTree,1,0.017122143878952632,
DJI,HoeffdingTree,2,0.017122143878952632,
DJI,HoeffdingTree,3,0.017122143878952632,
DJI,HoeffdingTree,4,0.017122143878952632,
DJI,HoeffdingTree,5,0.017122143878952632,
DJI,KNNRegressorOnline,1,0.01825777664181711,
DJI,KNNRegressorOnline,2,0.01825777664181711,
DJI,KNNRegressorOnline,3,0.01825777664181711,
DJI,KNNRegressorOnline,4,0.01825777664181711,
DJI,KNNRegressorOnline,5,0.01825777664181711,
DJI,LinearRegressionOnline,1,0.01685547023370457,
DJI,LinearRegressionOnline,2,0.01685547023370457,
DJI,LinearRegressionOnline,3,0.01685547023370457,
DJI,LinearRegressionOnline,4,0.01685547023370457,
DJI,LinearRegressionOnline,5,0.01685547023370457,
DJI,OS-ELM,1,0.031968390185489165,
DJI,OS-ELM,2,0.031968390185489165,
DJI,OS-ELM,3,0.031968390185489165,
DJI,OS-ELM,4,0.031968390185489165,
DJI,OS-ELM,5,0.031968390185489165,
GSPC,Liedson,1,0.005481347776530412,51.0
GSPC,Liedson,2,0.005481347776530412,51.0
GSPC,Liedson,3,0.005481347776530412,51.0
GSPC,Liedson,4,0.005481347776530412,51.0
GSPC,Liedson,5,0.005481347776530412,51.0
GSPC,LR + KSWIN,1,0.005791259348333749,37.0
GSPC,LR + KSWIN,2,0.005791259348333749,37.0
GSPC,LR + KSWIN,3,0.005791259348333749,37.0
GSPC,LR + KSWIN,4,0.005791259348333749,37.0
GSPC,LR + KSWIN,5,0.005791259348333749,37.0
GSPC,SVR + KSWIN,1,0.01774576859423837,57.0
GSPC,SVR + KSWIN,2,0.01774576859423837,57.0
GSPC,SVR + KSWIN,3,0.01774576859423837,57.0
GSPC,SVR + KSWIN,4,0.01774576859423837,57.0
GSPC,SVR + KSWIN,5,0.01774576859423837,57.0
GSPC,BayesianLinear,1,0.0056596504623035405,
GSPC,BayesianLinear,2,0.0056596504623035405,
GSPC,BayesianLinear,3,0.0056596504623035405,
GSPC,BayesianLinear,4,0.0056596504623035405,
