serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,LR + KSWINDetector,1,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,2,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,3,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,4,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,5,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,6,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,7,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,8,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,9,0.007209549156870596,21.0
AAPL,LR + KSWINDetector,10,0.007209549156870596,21.0
AAPL,LR + ADWINDetector,1,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,2,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,3,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,4,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,5,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,6,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,7,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,8,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,9,0.008157142864605959,2.0
AAPL,LR + ADWINDetector,10,0.008157142864605959,2.0
AAPL,LR + DDMDetector,1,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,2,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,3,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,4,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,5,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,6,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,7,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,8,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,9,0.0070462348704013605,2.0
AAPL,LR + DDMDetector,10,0.0070462348704013605,2.0
AAPL,LR + EDDMDetector,1,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,2,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,3,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,4,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,5,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,6,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,7,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,8,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,9,0.010095875072212029,0.0
AAPL,LR + EDDMDetector,10,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,1,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,2,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,3,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,4,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,5,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,6,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,7,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,8,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,9,0.010095875072212029,0.0
AAPL,LR + FHDDMDetector,10,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,1,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,2,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,3,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,4,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,5,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,6,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,7,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,8,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,9,0.010095875072212029,0.0
AAPL,LR + HDDM_ADetector,10,0.010095875072212029,0.0
AAPL,LR + PageHinkleyDetector,1,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,2,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,3,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,4,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,5,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,6,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,7,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,8,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,9,0.009524991434772746,1.0
AAPL,LR + PageHinkleyDetector,10,0.009524991434772746,1.0
AAPL,LR + HDDM_WDetector,1,0.010095875072212029,0.0
AAPL,LR + HDDM_WDetector,2,0.010095875072212029,0.0
AAPL,LR + HDDM_WDetector,3,0.010095875072212029,0.0
AAPL,LR + HDDM_WDetector,4,0.010095875072212029,0.0
AAPL,LR + HDDM_WDetector,5,0.010095875072212029,0.0
AAPL,LR + HDDM_WDetector,6,0.010095875072212029,0.0
