serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,Gabriel,1,0.0071822582798659,19.0
AAPL,Gabriel,2,0.0071822582798659,19.0
AAPL,Gabriel,3,0.0071822582798659,19.0
AAPL,LR + KSWIN,1,0.007281670584512128,19.0
AAPL,LR + KSWIN,2,0.007281670584512128,19.0
AAPL,LR + KSWIN,3,0.007281670584512128,19.0
AAPL,BayesianLinear,1,0.007968005703709606,
AAPL,BayesianLinear,2,0.007968005703709606,
AAPL,BayesianLinear,3,0.007968005703709606,
B3SA3.SA,Gabriel,1,0.03163605428946086,4.0
B3SA3.SA,Gabriel,2,0.03163605428946086,4.0
B3SA3.SA,Gabriel,3,0.03163605428946086,4.0
B3SA3.SA,LR + KSWIN,1,0.03387616640222858,6.0
B3SA3.SA,LR + KSWIN,2,0.03387616640222858,6.0
B3SA3.SA,LR + KSWIN,3,0.03387616640222858,6.0
B3SA3.SA,BayesianLinear,1,0.02946876432964951,
B3SA3.SA,BayesianLinear,2,0.02946876432964951,
B3SA3.SA,BayesianLinear,3,0.02946876432964951,
IXIC,Gabriel,1,0.008596491738969064,21.0
IXIC,Gabriel,2,0.008596491738969064,21.0
IXIC,Gabriel,3,0.008596491738969064,21.0
IXIC,LR + KSWIN,1,0.009021276576082276,23.0
IXIC,LR + KSWIN,2,0.009021276576082276,23.0
IXIC,LR + KSWIN,3,0.009021276576082276,23.0
IXIC,BayesianLinear,1,0.008734726269088512,
IXIC,BayesianLinear,2,0.008734726269088512,
IXIC,BayesianLinear,3,0.008734726269088512,
DJI,Gabriel,1,0.012828591979780403,15.0
DJI,Gabriel,2,0.012828591979780403,15.0
DJI,Gabriel,3,0.012828591979780403,15.0
DJI,LR + KSWIN,1,0.013312896067789457,15.0
DJI,LR + KSWIN,2,0.013312896067789457,15.0
DJI,LR + KSWIN,3,0.013312896067789457,15.0
DJI,BayesianLinear,1,0.013573849576053522,
DJI,BayesianLinear,2,0.013573849576053522,
DJI,BayesianLinear,3,0.013573849576053522,
GSPC,Gabriel,1,0.00527184083412649,41.0
GSPC,Gabriel,2,0.00527184083412649,41.0
GSPC,Gabriel,3,0.00527184083412649,41.0
GSPC,LR + KSWIN,1,0.00564298737999527,38.0
GSPC,LR + KSWIN,2,0.00564298737999527,38.0
GSPC,LR + KSWIN,3,0.00564298737999527,38.0
GSPC,BayesianLinear,1,0.0056596504623035405,
GSPC,BayesianLinear,2,0.0056596504623035405,
GSPC,BayesianLinear,3,0.0056596504623035405,
BVSP,Gabriel,1,0.016511446922145952,12.0
BVSP,Gabriel,2,0.016511446922145952,12.0
BVSP,Gabriel,3,0.016511446922145952,12.0
BVSP,LR + KSWIN,1,0.016070985589346123,13.0
BVSP,LR + KSWIN,2,0.016070985589346123,13.0
BVSP,LR + KSWIN,3,0.016070985589346123,13.0
BVSP,BayesianLinear,1,0.017538865273037996,
BVSP,BayesianLinear,2,0.017538865273037996,
BVSP,BayesianLinear,3,0.017538865273037996,
USDBRLX,Gabriel,1,0.023177954954612858,8.0
USDBRLX,Gabriel,2,0.023177954954612858,8.0
USDBRLX,Gabriel,3,0.023177954954612858,8.0
USDBRLX,LR + KSWIN,1,0.02192410318135851,9.0
USDBRLX,LR + KSWIN,2,0.02192410318135851,9.0
USDBRLX,LR + KSWIN,3,0.02192410318135851,9.0
USDBRLX,BayesianLinear,1,0.01984387727335663,
USDBRLX,BayesianLinear,2,0.01984387727335663,
USDBRLX,BayesianLinear,3,0.01984387727335663,
