serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,LR + KSWIN,1,0.006682338420326009,19.0
AAPL,LR + KSWIN,2,0.006682338420326009,19.0
AAPL,LR + KSWIN,3,0.006682338420326009,19.0
AAPL,LR + KSWIN,4,0.006682338420326009,19.0
AAPL,LR + KSWIN,5,0.006682338420326009,19.0
AAPL,LR + KSWIN,6,0.006682338420326009,19.0
AAPL,LR + KSWIN,7,0.006682338420326009,19.0
AAPL,LR + KSWIN,8,0.006682338420326009,19.0
AAPL,LR + KSWIN,9,0.006682338420326009,19.0
AAPL,LR + KSWIN,10,0.006682338420326009,19.0
AAPL,KNN + KSWIN,1,0.07290485368502375,26.0
AAPL,KNN + KSWIN,2,0.07290485368502375,26.0
AAPL,KNN + KSWIN,3,0.07290485368502375,26.0
AAPL,KNN + KSWIN,4,0.07290485368502375,26.0
AAPL,KNN + KSWIN,5,0.07290485368502375,26.0
AAPL,KNN + KSWIN,6,0.07290485368502375,26.0
AAPL,KNN + KSWIN,7,0.07290485368502375,26.0
AAPL,KNN + KSWIN,8,0.07290485368502375,26.0
AAPL,KNN + KSWIN,9,0.07290485368502375,26.0
AAPL,KNN + KSWIN,10,0.07290485368502375,26.0
AAPL,MLP + KSWIN,1,0.02054629345643145,26.0
AAPL,MLP + KSWIN,2,0.0254279214376421,27.0
AAPL,MLP + KSWIN,3,0.022029592182690804,27.0
AAPL,MLP + KSWIN,4,0.024208102072591817,27.0
AAPL,MLP + KSWIN,5,0.023619238466529652,26.0
AAPL,MLP + KSWIN,6,0.025360638562589355,27.0
AAPL,MLP + KSWIN,7,0.023276152863943935,26.0
AAPL,MLP + KSWIN,8,0.023624186501144697,27.0
AAPL,MLP + KSWIN,9,0.02310207243643937,26.0
AAPL,MLP + KSWIN,10,0.025097532587207243,26.0
AAPL,Lasso + KSWIN,1,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,2,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,3,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,4,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,5,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,6,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,7,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,8,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,9,0.026971719136013164,26.0
AAPL,Lasso + KSWIN,10,0.026971719136013164,26.0
AAPL,RF + KSWIN,1,0.06466691023736912,27.0
AAPL,RF + KSWIN,2,0.06526858178915244,27.0
AAPL,RF + KSWIN,3,0.06774087371919545,27.0
AAPL,RF + KSWIN,4,0.05266256208926301,26.0
AAPL,RF + KSWIN,5,0.06582807059046838,26.0
AAPL,RF + KSWIN,6,0.06514182080676433,27.0
AAPL,RF + KSWIN,7,0.0653354315742375,27.0
AAPL,RF + KSWIN,8,0.0651884377146161,27.0
AAPL,RF + KSWIN,9,0.051048009201613766,26.0
AAPL,RF + KSWIN,10,0.06439106549501099,27.0
AAPL,Ridge + KSWIN,1,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,2,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,3,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,4,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,5,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,6,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,7,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,8,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,9,0.00828374328858893,25.0
AAPL,Ridge + KSWIN,10,0.00828374328858893,25.0
AAPL,SVR + KSWIN,1,0.01830734865676826,26.0
AAPL,SVR + KSWIN,2,0.01830734865676826,26.0
AAPL,SVR + KSWIN,3,0.01830734865676826,26.0
AAPL,SVR + KSWIN,4,0.01830734865676826,26.0
AAPL,SVR + KSWIN,5,0.01830734865676826,26.0
AAPL,SVR + KSWIN,6,0.01830734865676826,26.0
AAPL,SVR + KSWIN,7,0.01830734865676826,26.0
AAPL,SVR + KSWIN,8,0.01830734865676826,26.0
AAPL,SVR + KSWIN,9,0.01830734865676826,26.0
AAPL,SVR + KSWIN,10,0.01830734865676826,26.0
AAPL,BayesianLinear,1,0.007968005703709606,
AAPL,BayesianLinear,2,0.007968005703709606,
AAPL,BayesianLinear,3,0.007968005703709606,
AAPL,BayesianLinear,4,0.007968005703709606,
AAPL,BayesianLinear,5,0.007968005703709606,
AAPL,BayesianLinear,6,0.007968005703709606,
AAPL,BayesianLinear,7,0.007968005703709606,
AAPL,BayesianLinear,8,0.007968005703709606,
AAPL,BayesianLinear,9,0.007968005703709606,
AAPL,BayesianLinear,10,0.007968005703709606,
AAPL,HoeffdingTree,1,0.08324726516619738,
AAPL,HoeffdingTree,2,0.08324726516619738,
AAPL,HoeffdingTree,3,0.08324726516619738,
AAPL,HoeffdingTree,4,0.08324726516619738,
AAPL,HoeffdingTree,5,0.08324726516619738,
AAPL,HoeffdingTree,6,0.08324726516619738,
AAPL,HoeffdingTree,7,0.08324726516619738,
AAPL,HoeffdingTree,8,0.08324726516619738,
AAPL,HoeffdingTree,9,0.08324726516619738,
AAPL,HoeffdingTree,10,0.08324726516619738,
AAPL,KNNRegressorOnline,1,0.011121606619677748,
